  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
 66	       -14955.6	           0.0690608	       44.83	         -210.684	            -421.374	            -14973.2	            -29941.9	            -210.684	            -421.374	            -425.588	             14768.7	           -0.133063
 67	       -14295.6	           0.0578704	       20.16	         -210.789	            -421.584	            -14324.3	            -28644.2	            -210.789	            -421.584	            -425.783	             14119.7	           -0.133988
 68	       -13587.1	           0.0765697	       52.23	         -210.894	            -421.794	            -13601.5	            -27198.4	            -210.894	            -421.794	            -425.979	             13396.8	           -0.134905
 69	       -12960.7	           0.0672043	        2.48	         -210.999	            -422.004	            -12984.2	              -25964	            -210.999	            -422.004	            -426.174	             12779.5	           -0.135816
 70	       -12277.2	           0.0536481	       44.81	         -205.846	            -411.686	            -12301.9	            -24599.3	            -205.846	            -411.686	            -415.853	             12102.3	            -0.13035
 71	       -11701.6	           0.0568182	       21.73	         -200.546	            -401.085	            -11716.7	            -23428.9	            -200.546	            -401.085	             -405.24	             11522.3	           -0.130444
 72	       -11139.4	           0.0910747	       17.96	         -187.465	            -374.913	            -11169.7	            -22334.9	            -187.465	            -374.913	            -379.063	             10988.5	           -0.126261
 73	       -10687.1	            0.103306	        17.7	          -187.57	            -375.123	            -10712.2	            -21420.3	             -187.57	            -375.123	            -379.259	             10530.8	           -0.127137
 74	       -10226.3	           0.0703235	       35.09	         -187.675	            -375.333	            -10246.3	            -20488.1	            -187.675	            -375.333	            -379.456	             10064.8	           -0.128007
 75	       -9575.92	           0.0729927	        1.28	         -187.773	            -375.543	             -9590.2	            -19177.3	            -187.773	            -375.543	            -379.639	             9408.63	           -0.136269
 76	        -8811.4	           0.0714286	       94.75	         -187.879	            -375.753	            -8844.72	            -17684.9	            -187.879	            -375.753	            -379.836	             8663.05	           -0.137133
 77	        -8157.1	           0.0640205	        0.57	         -187.984	            -375.963	            -8179.88	            -16355.2	            -187.984	            -375.963	            -380.033	              7998.1	           -0.137992
 78	       -7400.72	           0.0499002	        3.72	         -188.089	            -376.173	            -7420.28	              -14836	            -188.089	            -376.173	            -380.231	              7238.4	           -0.138845
 79	       -6917.62	           0.0459982	       59.99	         -188.156	            -376.381	            -6935.07	            -13865.6	            -188.156	            -376.381	            -380.352	             6753.09	           -0.182132
 80	          -6357	            0.063857	        4.34	         -188.261	            -376.591	            -6379.05	            -12753.6	            -188.261	            -376.591	            -380.549	             6196.96	           -0.183005
 81	       -5728.53	           0.0507099	        0.46	         -188.366	            -376.801	            -5751.25	            -11499.7	            -188.366	            -376.801	            -380.747	             5569.05	           -0.183977
 82	       -5210.74	           0.0718391	          51	         -188.471	            -377.011	            -5261.65	            -10518.8	            -188.471	            -377.011	            -380.945	             5079.34	           -0.184841
 83	       -4720.75	            0.058072	        3.51	         -188.576	            -377.221	            -4755.73	            -9506.95	            -188.576	            -377.221	            -381.143	             4573.32	           -0.185699
 84	       -4322.28	           0.0801282	        8.84	         -188.682	            -377.431	            -4348.01	            -8691.52	            -188.682	            -377.431	            -381.341	              4165.5	           -0.186552
 85	       -3893.27	           0.0704225	       32.23	         -188.787	            -377.641	            -3912.08	            -7819.65	            -188.787	            -377.641	            -381.539	             3729.46	           -0.187427
 86	       -3438.72	           0.0726744	        3.18	         -188.892	            -377.851	            -3456.41	            -6908.32	            -188.892	            -377.851	            -381.738	             3273.69	           -0.188271
 87	       -3108.44	            0.046729	       31.81	         -188.997	            -378.061	             -3124.1	            -6244.57	            -188.997	            -378.061	            -381.936	             2941.27	           -0.189109
 88	       -2778.04	           0.0559284	       26.76	         -189.102	            -378.271	            -2793.72	            -5582.96	            -189.102	            -378.271	            -382.135	             2610.78	            -0.18999
 89	        -2491.9	           0.0426985	       22.58	         -187.525	            -375.387	            -2509.72	            -5014.95	            -187.525	            -375.387	            -378.969	             2328.21	           -0.351179
 90	       -2196.89	           0.0457875	       33.22	          -187.63	            -375.597	            -2216.33	             -4428.2	             -187.63	            -375.597	            -379.168	             2034.71	           -0.352292
 91	       -1958.09	           0.0547645	       19.92	         -187.735	            -375.807	            -1976.06	            -3947.61	            -187.735	            -375.807	            -379.367	             1794.33	           -0.353247
 92	       -1814.32	           0.0545256	       16.77	         -187.773	             -376.01	            -1833.26	            -3662.63	            -187.773	             -376.01	            -379.432	             1651.43	             -0.4313
 93	       -1649.26	            0.034965	       51.73	         -187.434	            -375.885	            -1666.52	            -3328.59	            -187.434	            -375.885	            -378.743	             1484.58	             -0.7827
 94	       -1482.22	           0.0216357	       28.29	         -187.539	            -376.095	            -1499.18	            -2993.86	            -187.539	            -376.095	            -378.942	             1317.14	           -0.784156
 95	       -1309.09	           0.0367647	       27.65	         -187.623	            -376.301	            -1332.45	            -2661.67	            -187.623	            -376.301	              -379.1	              1150.3	           -0.810549
 96	       -1183.51	           0.0510204	       21.85	         -187.604	            -376.451	            -1204.01	             -2404.9	            -187.604	            -376.451	            -379.052	             1021.76	           -0.938849
 97	       -1039.66	            0.095057	       41.31	         -187.709	             -376.66	            -1056.33	            -2109.32	            -187.709	             -376.66	            -379.252	             873.973	           -0.940279
 98	       -909.653	           0.0196386	       26.43	         -187.812	            -376.869	             -928.77	            -1854.57	            -187.812	            -376.869	            -379.447	             746.308	           -0.944758
 99	       -815.799	           0.0198491	       42.42	         -187.917	            -377.079	            -833.512	            -1663.71	            -187.917	            -377.079	            -379.647	             650.945	           -0.946206
100	       -718.288	           0.0388802	       23.88	         -185.037	            -370.156	            -735.177	             -1466.2	            -185.037	            -370.156	            -373.875	             556.301	           -0.210414
101	       -633.605	           0.0510725	        46.2	          -185.14	            -370.366	            -650.034	             -1297.2	             -185.14	            -370.366	            -374.072	             471.054	           -0.213456
102	       -567.317	           0.0428449	       44.46	         -185.237	            -370.575	            -583.811	            -1164.78	            -185.237	            -370.575	            -374.256	             404.725	           -0.223556
103	       -517.388	           0.0358938	       40.33	         -185.284	            -370.779	            -534.944	               -1067	            -185.284	            -370.779	             -374.34	             355.753	           -0.290243
104	       -456.782	           0.0319285	       38.39	         -185.388	            -370.989	            -474.426	            -945.041	            -185.388	            -370.989	            -374.538	             295.129	           -0.292213
105	       -416.426	           0.0287687	       25.72	         -185.311	            -371.139	             -433.55	            -864.046	            -185.311	            -371.139	            -374.374	             254.149	           -0.480372
106	       -370.296	           0.0280741	       55.11	          -184.29	            -369.198	            -388.532	            -773.093	             -184.29	            -369.198	            -372.322	             210.064	           -0.544687
107	       -328.019	           0.0404204	       19.29	          -184.38	            -369.406	            -346.252	             -690.09	             -184.38	            -369.406	            -372.493	             167.679	           -0.564179
108	       -291.173	           0.0388802	       46.64	         -184.471	            -369.615	            -308.546	            -614.659	            -184.471	            -369.615	            -372.665	             129.868	            -0.58206
109	        -271.74	           0.0230734	      100.11	         -184.575	            -369.825	            -290.058	            -578.725	            -184.575	            -369.825	            -372.866	             111.274	           -0.583582
110	       -249.188	           0.0284576	       19.98	         -184.266	            -369.599	            -266.493	            -531.078	            -184.266	            -369.599	            -372.238	             87.6041	           -0.844418
111	       -233.873	            0.035461	       49.22	         -184.365	            -369.808	            -249.996	            -499.773	            -184.365	            -369.808	            -372.427	             71.0018	           -0.853662
112	       -222.588	           0.0322997	       62.75	          -184.47	            -370.018	            -239.074	            -477.392	             -184.47	            -370.018	            -372.627	             59.9748	           -0.855406
113	       -214.054	           0.0229991	       94.23	         -184.552	            -370.223	             -230.06	            -460.188	            -184.552	            -370.223	            -372.782	             50.8561	           -0.885252
114	       -205.895	           0.0263019	       45.51	         -184.076	            -369.463	            -221.735	             -444.19	            -184.076	            -369.463	            -371.821	             42.9178	            -1.02328
115	       -200.558	           0.0445633	          71	         -184.113	            -369.648	            -216.376	            -433.653	            -184.113	            -369.648	            -371.887	             37.4534	            -1.10568
116	       -197.003	           0.0364697	       61.75	         -184.157	            -369.832	            -212.578	            -426.688	            -184.157	            -369.832	            -371.966	              33.551	            -1.18053
117	       -194.003	           0.0276091	       64.31	         -184.191	            -370.004	            -209.581	            -420.808	            -184.191	            -370.004	            -372.026	             30.4483	            -1.26299
118	       -191.171	           0.0310945	        96.1	         -184.275	            -370.207	            -206.851	            -415.406	            -184.275	            -370.207	            -372.185	             27.6132	            -1.29343
119	       -189.191	           0.0387297	       82.56	         -184.187	            -370.177	             -204.64	            -411.606	            -184.187	            -370.177	            -372.001	              25.297	            -1.41471
120	       -187.206	           0.0257998	       79.84	         -184.288	            -370.384	            -202.754	            -407.759	            -184.288	            -370.384	            -372.194	             23.3062	            -1.42206
121	       -185.889	           0.0275938	       92.32	         -184.385	             -370.59	            -201.051	            -404.961	            -184.385	             -370.59	            -372.379	             21.4983	            -1.43615
122	       -184.757	           0.0273373	       91.96	           -184.1	            -369.952	            -199.912	            -402.773	              -184.1	            -369.952	            -371.801	             20.7944	            -1.38096
