  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
 85	       -839.623	            0.107296	      180.31	         -837.858	            -1677.06	             -850.35	            -1704.28	            -837.858	            -1677.06	            -1679.68	             17.9676	           -0.987671
 86	       -838.906	            0.119048	      158.41	         -837.946	            -1677.27	            -849.746	            -1703.08	            -837.946	            -1677.27	            -1679.85	             17.2593	            -1.01083
 87	       -838.236	           0.0994036	      184.36	         -837.982	            -1677.46	            -849.123	            -1701.85	            -837.982	            -1677.46	            -1679.91	              16.531	            -1.09718
 88	       -837.594	            0.108225	      179.54	         -838.023	            -1677.66	            -848.563	            -1700.75	            -838.023	            -1677.66	            -1679.98	             15.8653	            -1.18034
 89	       -836.978	            0.114679	      173.78	         -837.757	            -1677.34	            -848.002	            -1699.65	            -837.757	            -1677.34	            -1679.43	             15.1996	            -1.34349
 90	       -836.362	             0.15015	      129.66	         -837.734	            -1677.45	            -847.462	            -1698.57	            -837.734	            -1677.45	            -1679.38	             14.5547	            -1.47168
 91	       -835.839	           0.0689655	      293.11	         -837.822	            -1677.65	            -846.952	            -1697.57	            -837.822	            -1677.65	            -1679.54	             13.9394	            -1.49767
 92	       -835.381	           0.0583431	      342.71	         -837.741	            -1677.68	            -846.478	            -1696.66	            -837.741	            -1677.68	            -1679.37	               13.36	            -1.66538
 93	       -834.832	            0.154799	      119.67	         -837.777	            -1677.86	             -846.05	             -1695.8	            -837.777	            -1677.86	            -1679.43	             12.8272	            -1.75876
 94	       -834.334	           0.0714286	      274.95	         -837.723	            -1677.85	             -845.62	            -1694.94	            -837.723	            -1677.85	            -1679.31	             12.2919	            -1.86237
 95	       -833.643	           0.0897666	      229.68	         -837.717	            -1677.93	            -845.168	            -1693.99	            -837.718	            -1677.93	            -1679.29	             11.7345	            -1.95087
